frame_id,x,y,ekf_vx,ekf_vy,ekf_ax,ekf_ay,confidence,detected,track_id,height_meters,smoothed_vx,smoothed_vy,smoothed_velocity,smoothed_direction_angle,smoothed_direction,velocity_mps
0,1783.6080322265625,1216.494140625,0.0,0.0,0.0,0.0,0.829395592212677,True,1,1.7472330729166665,0.0,0.0,0.0,0.0,E,0.0
1,1785.8220504096503,1216.8222040501796,0.07352358375290244,0.010894395559252494,0.0012207932582393116,0.0001808916809064372,0.8667835593223572,True,1,1.7466255480552229,0.07352358375290244,0.010894395559252494,0.04955089514819426,355.78574807116536,E,0.0027500746807247816
2,1773.7256274257106,1214.1409830631458,-6.108342812082435,-1.3587204819788599,-0.7236254344254555,-0.16040923704386048,0.8933669924736023,True,1,1.7515907721052857,-6.108342812082435,-1.3587204819788599,2.8059457584126797,353.2654772130663,E,0.15572998959190373
3,1763.4743435377534,1213.7636919110048,-15.017557454053915,-1.49826404381087,-2.705250167887544,-0.18494941029222478,0.8986933827400208,True,1,1.7522894594240652,-15.017557454053915,-1.49826404381087,6.7854522150746055,80.96193661355477,N,0.37659259793664057
4,1778.4337137854552,1216.5985485976926,5.222689431249894,2.0940300960899685,3.739644423899955,0.9414064663027385,0.8592702746391296,True,1,1.7470397248190879,5.222689431249894,2.0940300960899685,6.52666358358421,169.12560095164642,W,0.36222982888892363
5,1786.3806941753742,1219.9325796683752,14.323092184476144,5.827331815994455,6.9204878113797665,2.290130140960099,0.7852138876914978,True,1,1.7408655932067125,14.323092184476144,5.827331815994455,6.73949768514805,181.04507942565135,W,0.37404212152571675
6,1801.6473359082734,1216.2889843770931,30.882709436771382,0.3474459683538643,13.56451327905578,-0.29486755308913404,0.8049371838569641,True,1,1.7476129918942718,30.882709436771382,0.3474459683538643,7.197482206702281,275.8299619928258,S,0.3994602624719766
7,1801.1071892890907,1210.4888309655792,25.30661609601344,-6.881167638824249,9.660096335300167,-3.727080764509672,0.7905274629592896,True,1,1.7583540167304088,25.30661609601344,-6.881167638824249,7.864488014721274,335.98346888174825,SE,0.4364790848170307
8,1807.119434524512,1205.1591280853381,28.29379871054376,-12.343476883743726,10.222526484970073,-6.120863284071749,0.8397444486618042,True,1,1.7682238368790033,28.29379871054376,-12.343476883743726,8.696216481759373,347.28916374373193,E,0.48264001473764523
9,1806.3443235186328,1198.4142611684704,22.51314268434485,-18.53585341843266,6.175297975089109,-8.708413025074567,0.7842046618461609,True,1,1.7807143311694995,22.51314268434485,-18.53585341843266,9.61762578978216,354.755969578335,E,0.5337782313329098
10,1819.9411962095205,1195.5893629373613,33.75847739182012,-18.808622301302915,11.300705994537921,-7.873019093417472,0.8223391771316528,True,1,1.7859456241900715,33.75847739182012,-18.808622301302915,10.593497478460645,0.5733264093043624,E,0.5879391100545658
11,1826.4085754008968,1194.8317672631465,34.658955248405796,-16.433384231160744,10.455616370639273,-5.759436496439715,0.8125079870223999,True,1,1.7873485791423214,34.658955248405796,-16.433384231160744,11.58981657302373,5.263158451196253,E,0.643234819802817
12,1835.7566948783344,1190.990999888227,38.48724462807964,-17.762205332892822,11.198364076798159,-5.783234325719124,0.8477078080177307,True,1,1.7944611113180984,38.48724462807964,-17.762205332892822,12.592155640856006,9.017542063525715,E,0.6988646380675083
13,1825.3744842854112,1185.9101926791038,20.843067025675747,-20.089138306627124,1.6171082043501315,-6.279711567162667,0.8522402048110962,True,1,1.8038700135572152,20.843067025675747,-20.089138306627124,13.565530388415176,12.40542846484144,E,0.7528869365570423
14,1811.310294908358,1179.6360104706316,2.1887864337015883,-22.964206911053797,-7.027046709115412,-6.918315288041715,0.8587931990623474,True,1,1.8154888694988305,2.1887864337015883,-22.964206911053797,14.486847379825806,15.901836303883185,E,0.8040200295803321
15,1804.0681679404056,1182.727651565978,-6.6862837970448705,-16.391781420344614,-10.209171270097062,-3.3812976920718474,0.8742058277130127,True,1,1.809763608211152,-6.6862837970448705,-16.391781420344614,16.128301315300916,21.196429582245262,E,0.8951207229992009
16,1797.1596568891696,1180.0158980357755,-13.758236384591195,-16.190558003850644,-12.205838884635268,-2.9833630176992445,0.8484054207801819,True,1,1.814785374007823,-13.758236384591195,-16.190558003850644,17.736347367524946,27.08598089688005,NE,0.9843672788976345
17,1799.0778087421934,1178.2394619329434,-11.7595280879588,-15.178857061650456,-10.335833583780724,-2.317484921152651,0.8777557611465454,True,1,1.8180750704945492,-11.7595280879588,-15.178857061650456,19.03436265489691,33.07711432748356,NE,1.0564071273467783
18,1802.2875050780146,1171.2172479160083,-8.835085600741861,-18.78894163086854,-8.347123044673296,-3.499064416608591,0.8095735311508179,True,1,1.8310791705259106,-8.835085600741861,-18.78894163086854,19.91600046116779,40.804568290484,NE,1.1053380255948124
19,1821.4286150345,1163.7662359012347,6.894690729504587,-22.142205467672117,-1.9213739791744215,-4.432805309931642,0.8694025874137878,True,1,1.8448773409236394,6.894690729504587,-22.142205467672117,21.116726009814112,51.04639586070208,NE,1.1719782935446832
20,1822.7663886192584,1158.5048162503479,6.321265434488034,-23.252190980316367,-1.9696868252784652,-4.469923185010181,0.8853492736816406,True,1,1.8546207106475041,6.321265434488034,-23.252190980316367,22.26718650896011,62.1378195120082,NE,1.235828851247286
21,1823.7442168125715,1155.6935778607408,5.566413992528494,-22.298306800981315,-2.07284902373802,-3.810819925287189,0.9129042625427246,True,1,1.8598267076652948,5.566413992528494,-22.298306800981315,23.322724797377415,72.90456280580254,N,1.2944112262544465
22,1818.0336281568323,1155.6763025900768,-0.022635020607402523,-19.28249090595333,-3.706299482616045,-2.5562196067884404,0.8422291278839111,True,1,1.859858698907265,-0.022635020607402523,-19.28249090595333,24.225208561490124,82.15090015125239,N,1.3444990751627017
23,1831.1598680602633,1157.4287527172899,8.485149828281413,-15.466434861755852,-0.8273690452642892,-1.198902518695049,0.8571146130561829,True,1,1.8566134208939076,8.485149828281413,-15.466434861755852,24.93532363506605,88.20002729510679,N,1.3839104617461657
24,1833.5927081692341,1158.9587710253545,8.724635321799077,-12.358424282459877,-0.7026953747336939,-0.1963800976918646,0.8828758001327515,True,1,1.853780053656751,8.724635321799077,-12.358424282459877,25.45272638355567,90.96296836596282,N,1.4126263142873396
25,1827.6930563155431,1161.5157891484557,3.435390934907108,-8.935026132616143,-2.173449875632327,0.7988747960794228,0.8382846713066101,True,1,1.8490448349102673,3.435390934907108,-8.935026132616143,25.76163660078219,91.19434212950206,N,1.4297708313434114
26,1839.0738547425815,1165.2479609571903,9.71523420316327,-5.057311448535577,-0.30519962742757056,1.8211546626003488,0.8436739444732666,True,1,1.8421334056348329,9.71523420316327,-5.057311448535577,25.861950970592076,88.75678665487604,N,1.4353382788678601
27,1841.9983235328257,1172.7195283259293,10.173517456608373,0.6287742949333394,-0.16455600575136994,3.241415047265681,0.9172195792198181,True,1,1.8282971697667976,10.173517456608373,0.6287742949333394,25.770309660878265,84.35196680566018,N,1.4302521861787438
28,1837.683736976295,1178.745394716946,6.213370084321404,4.837968493387379,-1.1756985609737143,4.148627185493688,0.8607956767082214,True,1,1.8171381579315815,6.213370084321404,4.837968493387379,25.50545076536008,78.40930030784023,N,1.4155525174774843
29,1838.1263775655784,1187.7012409408048,5.432992219528011,10.305665590692513,-1.3046141823131534,5.294254755516519,0.9170538783073425,True,1,1.800553257517028,5.432992219528011,10.305665590692513,25.09560298593287,70.93266359205417,N,1.3928059657192744
30,1842.691308659413,1195.8592712072575,6.994319419197372,14.71073867406111,-0.8534766148955475,6.063648776841524,0.8395625352859497,True,1,1.7854457940606343,6.994319419197372,14.71073867406111,24.56270034215403,61.827400967679495,NE,1.3632298689895486
31,1852.7193564193299,1201.9977007169705,11.380341065659781,17.522134554650016,0.21655832659360663,6.394091183643804,0.8822978138923645,True,1,1.7740783320056104,11.380341065659781,17.522134554650016,23.9339883358706,50.54239448235423,NE,1.328336352640818
32,1860.895927314269,1211.5739121437618,14.443108830769917,21.915102770668017,0.9011459984059526,7.083781759976257,0.924677848815918,True,1,1.7563446071411817,14.443108830769917,21.915102770668017,23.236877547985983,36.25844487252208,NE,1.289646703913222
33,1867.248435548634,1218.9242606509908,16.360301953842804,24.774829002594046,1.2836796145796514,7.397369416326251,0.9244330525398254,True,1,1.7427328506463131,16.360301953842804,24.774829002594046,22.50991599226736,18.48338569522988,E,1.2493003375708385
34,1878.7994532553362,1222.4584622170062,20.761181949445692,25.437456849253767,2.1735053559022184,7.214569239943803,0.8873599767684937,True,1,1.7361880329314698,20.761181949445692,25.437456849253767,21.78388804003318,358.9750414839133,E,1.2090057862218413
35,1890.6165304681988,1219.0190347157004,24.790033752584165,22.457832359322747,2.9143014111159813,6.241466100388564,0.9045112133026123,True,1,1.7425573431190733,24.790033752584165,22.457832359322747,21.053523773490987,341.47782669905666,E,1.1684705694287498
36,1894.6407682837491,1216.9817018281515,24.656571275491203,20.33395973964154,2.7510555777984425,5.500935664756966,0.8868399262428284,True,1,1.7463301817997197,24.656571275491203,20.33395973964154,20.36224862474887,328.56039019896883,SE,1.1301047986735622
37,1895.8102137414276,1219.7004335715553,23.313452980034732,20.678597013085366,2.3681205932215974,5.33067140623111,0.8761548399925232,True,1,1.7412954933860085,23.313452980034732,20.678597013085366,19.76041553601919,320.11763534686315,SE,1.096703062249065
38,1902.61111028044,1219.5320854082775,24.54568018861214,19.583358638499067,2.502513487307149,4.872081575684607,0.8966947197914124,True,1,1.7416072492439305,24.54568018861214,19.583358638499067,19.2899015881361,314.94368785128086,SE,1.0705895381415536
39,1908.5064930447536,1217.8841414182314,25.35671836843548,17.913971587832624,2.552948556439825,4.337410441827284,0.9305356740951538,True,1,1.7446589973736457,25.35671836843548,17.913971587832624,18.977007933670325,312.33260115020755,SE,1.053223940318703
